
%
% subject = 'ak'; condition = 'bright'; version='physical';
% time = '04-Apr-2022 10:33:53';
%
% trial, refk, refr, refi, testrk, testr, testik, testi, refleft, choosetest, stimt, rt, totaltime
%

222, 3, 0.4500, 147.0000,  4, 0.3858, 10, 199.9919, 1, 1,  1.002,  0.138,  538.694
223, 3, 0.4500, 147.0000,  3, 0.3572, 11, 215.9912, 0, 1,  0.041,  0.116,  539.872
224, 3, 0.4500, 147.0000,  5, 0.4167,  7, 158.7600, 0, 1,  0.068,  0.604,  541.560
225, 3, 0.4500, 147.0000,  8, 0.5249,  9, 185.1777, 0, 1,  0.075,  0.074,  542.730
226, 3, 0.4500, 147.0000,  7, 0.4860,  5, 136.1111, 1, 1,  0.058,  0.815,  544.622
227, 2, 0.3000, 192.0000,  9, 0.3779, 10, 261.2139, 1, 1,  0.171,  0.088,  545.894
228, 3, 0.4500, 147.0000,  6, 0.4500,  9, 185.1777, 1, 1,  0.187,  0.158,  547.265
229, 3, 0.4500, 147.0000,  1, 0.3063,  2, 108.0494, 0, 0,  0.123,  0.557,  548.967
230, 1, 0.1500, 251.0000,  8, 0.1750,  8, 292.7664, 0, 1,  1.219,  0.373,  551.580
231, 3, 0.4500, 147.0000,  3, 0.3572, 10, 199.9919, 1, 1,  0.949,  0.668,  554.225
232, 2, 0.3000, 192.0000,  2, 0.2205,  2, 141.1257, 0, 0,  0.566,  0.176,  555.988
233, 2, 0.3000, 192.0000,  6, 0.3000, 10, 261.2139, 1, 1,  0.050,  0.587,  557.645
234, 3, 0.4500, 147.0000,  9, 0.5669, 10, 199.9919, 0, 1,  0.549,  1.507,  560.714
235, 2, 0.3000, 192.0000,  6, 0.3000,  1, 130.6720, 1, 0,  0.528,  0.457,  562.714
236, 2, 0.3000, 192.0000, 11, 0.4408, 11, 282.1110, 0, 1,  0.127,  0.442,  564.299
237, 3, 0.4500, 147.0000,  4, 0.3858,  7, 158.7600, 0, 0,  0.143,  1.459,  566.916
238, 2, 0.3000, 192.0000,  9, 0.3779,  5, 177.7778, 0, 0,  0.124,  0.200,  568.258
239, 2, 0.3000, 192.0000, 11, 0.4408,  4, 164.6091, 1, 0,  0.074,  0.002,  569.360
